itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8010987,SAP Risk and Assurance Management,1,User,126,USD,Month,501,Infinite
8011319,"SAP Process Control, private cloud edition",1,User,222,USD,Month,1,20
8011319,"SAP Process Control, private cloud edition",1,User,196,USD,Month,21,50
8011319,"SAP Process Control, private cloud edition",1,User,125,USD,Month,51,100
8011319,"SAP Process Control, private cloud edition",1,User,77,USD,Month,101,200
8011319,"SAP Process Control, private cloud edition",1,User,51,USD,Month,201,Infinite
8011320,"SAP Risk Management, private cloud edition",1,User,222,USD,Month,1,20
8011320,"SAP Risk Management, private cloud edition",1,User,196,USD,Month,21,50
8011320,"SAP Risk Management, private cloud edition",1,User,125,USD,Month,51,100
8011320,"SAP Risk Management, private cloud edition",1,User,77,USD,Month,101,200
8011320,"SAP Risk Management, private cloud edition",1,User,51,USD,Month,201,Infinite
8011321,"SAP Audit Management, private cloud edition",1,User,225,USD,Month,1,20
8011321,"SAP Audit Management, private cloud edition",1,User,200,USD,Month,21,50
8011321,"SAP Audit Management, private cloud edition",1,User,126,USD,Month,51,100
8011321,"SAP Audit Management, private cloud edition",1,User,77,USD,Month,101,200
8011321,"SAP Audit Management, private cloud edition",1,User,52,USD,Month,201,Infinite
8011426,SAP Subscription Billing,"1,38,58,750",Revenue and Expense,"4,998.00",USD,Month,1,20
8011426,SAP Subscription Billing,"1,38,58,750",Revenue and Expense,"2,864.00",USD,Month,21,40
8011426,SAP Subscription Billing,"1,38,58,750",Revenue and Expense,"2,416.00",USD,Month,41,80
8011426,SAP Subscription Billing,"1,38,58,750",Revenue and Expense,"1,968.00",USD,Month,81,Infinite
8011621,"SAP Billing and Revenue Innovation Management Cloud, additional productive tier, private edition, (S)",1,Tenant,"18,845.00",USD,Month,1,Infinite
8011622,"SAP Billing and Revenue Innovation Management Cloud, additional productive tier, private edition, (M)",1,Tenant,"20,727.00",USD,Month,1,Infinite
8011623,"SAP Billing and Revenue Innovation Management Cloud, additional productive tier, private edition, (L)",1,Tenant,"29,942.00",USD,Month,1,Infinite
8011624,"SAP Billing and Revenue Innovation Management Cloud, additional productive tier, private edition, (XL)",1,Tenant,"40,812.00",USD,Month,1,Infinite
8011625,"SAP Billing and Revenue Innovation Management Cloud, additional non productive tier, private edition, (S)",1,Tenant,"15,023.00",USD,Month,1,Infinite
8011626,"SAP Billing and Revenue Innovation Management Cloud, additional non productive tier, private edition, (M)",1,Tenant,"15,042.00",USD,Month,1,Infinite
8011627,"SAP Billing and Revenue Innovation Management Cloud, additional non productive tier, private edition, (L)",1,Tenant,"21,772.00",USD,Month,1,Infinite
8011628,"SAP Billing and Revenue Innovation Management Cloud, additional non productive tier, private edition, (XL)",1,Tenant,"27,750.00",USD,Month,1,Infinite
8012134,SAP trading platform integration,500,Transaction,"2,073.00",USD,Month,1,2
8012134,SAP trading platform integration,500,Transaction,"1,818.00",USD,Month,3,6
8012134,SAP trading platform integration,500,Transaction,"1,534.00",USD,Month,7,Infinite
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"5,000.00",USD,Month,1,5
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"4,160.00",USD,Month,6,20
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"2,900.00",USD,Month,21,50
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"2,080.00",USD,Month,51,75
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"1,670.00",USD,Month,76,150
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,"1,250.00",USD,Month,151,250
8012561,"SAP Account Substantiation and Automation by BlackLine, transaction matching option","1,00,000",Transaction,835,USD,Month,251,Infinite
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,"3,250.00",USD,Month,1,5
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,"2,700.00",USD,Month,6,20
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,"1,900.00",USD,Month,21,50
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,"1,350.00",USD,Month,51,75
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,"1,100.00",USD,Month,76,150
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,810,USD,Month,151,250
8012562,"SAP Account Substantiation and Automation by BlackLine, journal entry option","10,000",Transaction,540,USD,Month,251,Infinite
8012568,"SAP Account Substantiation and Automation by BlackLine, base edition",1,User,85,USD,Month,1,Infinite
8012570,"SAP Advanced Financial Closing, test tenant",1,Tenant,"1,194.00",USD,Month,1,Infinite
8013743,"SAP Tax Declaration Framework Brazil Cloud, private edition",1,Object,262,USD,Month,1,20
8013743,"SAP Tax Declaration Framework Brazil Cloud, private edition",1,Object,165,USD,Month,21,100
8013743,"SAP Tax Declaration Framework Brazil Cloud, private edition",1,Object,151,USD,Month,101,500
8013743,"SAP Tax Declaration Framework Brazil Cloud, private edition",1,Object,137,USD,Month,501,Infinite
8014071,"SAP Convergent Mediation by DigitalRoute, private cloud edition","5,54,35,000",Revenue and Expense,"11,819.00",USD,Month,1,10
8014071,"SAP Convergent Mediation by DigitalRoute, private cloud edition","5,54,35,000",Revenue and Expense,"6,275.00",USD,Month,11,30
8014071,"SAP Convergent Mediation by DigitalRoute, private cloud edition","5,54,35,000",Revenue and Expense,"3,237.00",USD,Month,31,60
8014071,"SAP Convergent Mediation by DigitalRoute, private cloud edition","5,54,35,000",Revenue and Expense,"2,406.00",USD,Month,61,120
